18	10	1
8	24	1
10	-19	1
6	-5	1
1	-19	1
16	1	1
7	4	1
20	13	1
22	15	1
20	-1	1
5	-24	1
14	-23	1
25	-6	1
22	-2	1
15	-9	1
7	8	1
17	-23	1
13	1	1
7	-1	1
10	-23	1
15	25	1
21	-2	1
10	2	1
16	19	1
20	-8	1
2	-21	1
1	9	1
9	-22	1
3	15	1
6	8	1
16	-19	1
16	18	1
8	2	1
11	-17	1
18	25	1
65	-3	2
59	23	2
43	27	2
45	0	2
46	-15	2
40	25	2
43	-7	2
53	-7	2
53	24	2
60	28	2
56	-7	2
50	-1	2
57	28	2
40	18	2
61	1	2
64	32	2
62	9	2
45	19	2
63	14	2
45	-14	2
54	-5	2
59	7	2
46	28	2
55	-9	2
60	-3	2
41	-11	2
56	18	2
45	-2	2
48	17	2
54	29	2
48	-10	2
51	7	2
50	12	2
64	-9	2
64	-4	2
-19	-15	3
5	23	3
8	29	3
11	0	3
-17	-2	3
-24	8	3
21	22	3
1	11	3
0	6	3
-23	-11	3
14	9	3
5	9	3
18	31	3
11	-1	3
17	25	3
-10	-8	3
7	35	3
22	28	3
-17	11	3
-9	12	3
3	-9	3
-16	19	3
19	-12	3
19	5	3
-8	22	3
1	24	3
11	26	3
-20	11	3
-16	17	3
-1	33	3
18	29	3
24	29	3
14	21	3
15	5	3
25	-15	3
